t,y,error,u
0.000000,0.000000,1.000000,6.531569
0.010000,0.000324,1.000000,5.694033
0.020000,0.001247,0.999676,4.999648
0.030000,0.002684,0.998753,4.422279
0.040000,0.004564,0.997316,3.942495
0.050000,0.006829,0.995436,3.544090
0.060000,0.009429,0.993171,3.211434
0.070000,0.012323,0.990571,2.931735
0.080000,0.015477,0.987677,2.696603
0.090000,0.018860,0.984523,2.498966
0.100000,0.022447,0.981140,2.332870
0.110000,0.026217,0.977553,2.193300
0.120000,0.030152,0.973783,2.076033
0.130000,0.034237,0.969848,1.977515
0.140000,0.038457,0.965763,1.894756
0.150000,0.042802,0.961543,1.825241
0.160000,0.047262,0.957198,1.766854
0.170000,0.051828,0.952738,1.717812
0.180000,0.056493,0.948172,1.676619
0.190000,0.061250,0.943507,1.642013
0.200000,0.066094,0.938750,1.612935
0.210000,0.071020,0.933906,1.588492
0.220000,0.076023,0.928980,1.567934
0.230000,0.081100,0.923977,1.550631
0.240000,0.086247,0.918900,1.536050
0.250000,0.091461,0.913753,1.523746
0.260000,0.096739,0.908539,1.513343
0.270000,0.102078,0.903261,1.504525
0.280000,0.107476,0.897922,1.497027
0.290000,0.112930,0.892524,1.490626
0.300000,0.118439,0.887070,1.485134
0.310000,0.124000,0.881561,1.480394
0.320000,0.129612,0.876000,1.476273
0.330000,0.135273,0.870388,1.472659
0.340000,0.140981,0.864727,1.469461
0.350000,0.146734,0.859019,1.466598
0.360000,0.152531,0.853266,1.464007
0.370000,0.158370,0.847469,1.461630
0.380000,0.164250,0.841630,1.459423
0.390000,0.170170,0.835750,1.457346
0.400000,0.176127,0.829830,1.455368
0.410000,0.182120,0.823873,1.453462
0.420000,0.188149,0.817880,1.451604
0.430000,0.194211,0.811851,1.449776
0.440000,0.200305,0.805789,1.447963
0.450000,0.206431,0.799695,1.446152
0.460000,0.212586,0.793569,1.444332
0.470000,0.218769,0.787414,1.442494
0.480000,0.224979,0.781231,1.440632
0.490000,0.231216,0.775021,1.438739
0.500000,0.237476,0.768784,1.436811
0.510000,0.243761,0.762524,1.434844
0.520000,0.250067,0.756239,1.432835
0.530000,0.256394,0.749933,1.430781
0.540000,0.262741,0.743606,1.428682
0.550000,0.269106,0.737259,1.426536
0.560000,0.275489,0.730894,1.424341
0.570000,0.281887,0.724511,1.422098
0.580000,0.288301,0.718113,1.419806
0.590000,0.294729,0.711699,1.417465
0.600000,0.301169,0.705271,1.415075
0.610000,0.307620,0.698831,1.412638
0.620000,0.314082,0.692380,1.410152
0.630000,0.320554,0.685918,1.407619
0.640000,0.327034,0.679446,1.405039
0.650000,0.333520,0.672966,1.402413
0.660000,0.340013,0.666480,1.399743
0.670000,0.346511,0.659987,1.397028
0.680000,0.353013,0.653489,1.394270
0.690000,0.359517,0.646987,1.391470
0.700000,0.366024,0.640483,1.388628
0.710000,0.372531,0.633976,1.385747
0.720000,0.379038,0.627469,1.382826
0.730000,0.385544,0.620962,1.379867
0.740000,0.392048,0.614456,1.376871
0.750000,0.398549,0.607952,1.373838
0.760000,0.405046,0.601451,1.370771
0.770000,0.411537,0.594954,1.367670
0.780000,0.418023,0.588463,1.364536
0.790000,0.424501,0.581977,1.361370
0.800000,0.430972,0.575499,1.358174
0.810000,0.437434,0.569028,1.354948
0.820000,0.443886,0.562566,1.351693
0.830000,0.450328,0.556114,1.348411
0.840000,0.456758,0.549672,1.345102
0.850000,0.463176,0.543242,1.341768
0.860000,0.469581,0.536824,1.338409
0.870000,0.475972,0.530419,1.335028
0.880000,0.482348,0.524028,1.331624
0.890000,0.488709,0.517652,1.328198
0.900000,0.495053,0.511291,1.324753
0.910000,0.501379,0.504947,1.321288
0.920000,0.507688,0.498621,1.317804
0.930000,0.513978,0.492312,1.314304
0.940000,0.520249,0.486022,1.310787
0.950000,0.526499,0.479751,1.307255
0.960000,0.532728,0.473501,1.303708
0.970000,0.538935,0.467272,1.300148
0.980000,0.545120,0.461065,1.296576
0.990000,0.551282,0.454880,1.292992
1.000000,0.557420,0.448718,1.289397
1.010000,0.563533,0.442580,1.285792
1.020000,0.569621,0.436467,1.282179
1.030000,0.575684,0.430379,1.278558
1.040000,0.581719,0.424316,1.274930
1.050000,0.587728,0.418281,1.271295
1.060000,0.593709,0.412272,1.267656
1.070000,0.599662,0.406291,1.264011
1.080000,0.605585,0.400338,1.260364
1.090000,0.611480,0.394415,1.256713
1.100000,0.617344,0.388520,1.253060
1.110000,0.623177,0.382656,1.249407
1.120000,0.628979,0.376823,1.245753
1.130000,0.634750,0.371021,1.242099
1.140000,0.640488,0.365250,1.238447
1.150000,0.646193,0.359512,1.234797
1.160000,0.651865,0.353807,1.231149
1.170000,0.657504,0.348135,1.227505
1.180000,0.663108,0.342496,1.223865
1.190000,0.668677,0.336892,1.220231
1.200000,0.674211,0.331323,1.216602
1.210000,0.679710,0.325789,1.212979
1.220000,0.685172,0.320290,1.209364
1.230000,0.690598,0.314828,1.205756
1.240000,0.695987,0.309402,1.202157
1.250000,0.701338,0.304013,1.198568
1.260000,0.706652,0.298662,1.194988
1.270000,0.711928,0.293348,1.191418
1.280000,0.717166,0.288072,1.187860
1.290000,0.722364,0.282834,1.184313
1.300000,0.727524,0.277636,1.180779
1.310000,0.732644,0.272476,1.177258
1.320000,0.737724,0.267356,1.173750
