t,y,error,u
0.000000,0.000000,1.000000,6.533701
0.010000,0.000324,1.000000,5.693774
0.020000,0.001247,0.999676,4.993405
0.030000,0.002684,0.998753,4.407460
0.040000,0.004563,0.997316,3.917274
0.050000,0.006825,0.995437,3.507223
0.060000,0.009419,0.993175,3.164229
0.070000,0.012303,0.990581,2.877348
0.080000,0.015441,0.987697,2.637416
0.090000,0.018804,0.984559,2.436766
0.100000,0.022365,0.981196,2.268979
0.110000,0.026103,0.977635,2.128683
0.120000,0.030000,0.973897,2.011382
0.130000,0.034041,0.970000,1.913312
0.140000,0.038212,0.965959,1.831323
0.150000,0.042502,0.961788,1.762779
0.160000,0.046902,0.957498,1.705473
0.170000,0.051402,0.953098,1.657559
0.180000,0.055997,0.948598,1.617492
0.190000,0.060679,0.944003,1.583978
0.200000,0.065443,0.939321,1.555934
0.210000,0.070285,0.934557,1.532455
0.220000,0.075200,0.929715,1.512783
0.230000,0.080184,0.924800,1.496283
0.240000,0.085234,0.919816,1.482425
0.250000,0.090348,0.914766,1.470766
0.260000,0.095521,0.909652,1.460933
0.270000,0.100753,0.904479,1.452616
0.280000,0.106040,0.899247,1.445555
0.290000,0.111380,0.893960,1.439532
0.300000,0.116771,0.888620,1.434367
0.310000,0.122212,0.883229,1.429908
0.320000,0.127701,0.877788,1.426026
0.330000,0.133235,0.872299,1.422617
0.340000,0.138813,0.866765,1.419592
0.350000,0.144434,0.861187,1.416877
0.360000,0.150096,0.855566,1.414410
0.370000,0.155798,0.849904,1.412140
0.380000,0.161538,0.844202,1.410024
0.390000,0.167315,0.838462,1.408026
0.400000,0.173127,0.832685,1.406118
0.410000,0.178973,0.826873,1.404273
0.420000,0.184851,0.821027,1.402472
0.430000,0.190761,0.815149,1.400698
0.440000,0.196702,0.809239,1.398937
0.450000,0.202670,0.803298,1.397178
0.460000,0.208667,0.797330,1.395410
0.470000,0.214690,0.791333,1.393627
0.480000,0.220737,0.785310,1.391823
0.490000,0.226809,0.779263,1.389991
0.500000,0.232904,0.773191,1.388128
0.510000,0.239019,0.767096,1.386232
0.520000,0.245155,0.760981,1.384299
0.530000,0.251311,0.754845,1.382328
0.540000,0.257484,0.748689,1.380316
0.550000,0.263674,0.742516,1.378265
0.560000,0.269880,0.736326,1.376171
0.570000,0.276100,0.730120,1.374037
0.580000,0.282334,0.723900,1.371860
0.590000,0.288580,0.717666,1.369642
0.600000,0.294838,0.711420,1.367382
0.610000,0.301106,0.705162,1.365081
0.620000,0.307383,0.698894,1.362740
0.630000,0.313668,0.692617,1.360359
0.640000,0.319960,0.686332,1.357938
0.650000,0.326258,0.680040,1.355479
0.660000,0.332561,0.673742,1.352983
0.670000,0.338868,0.667439,1.350449
0.680000,0.345178,0.661132,1.347880
0.690000,0.351490,0.654822,1.345276
0.700000,0.357803,0.648510,1.342637
0.710000,0.364116,0.642197,1.339965
0.720000,0.370429,0.635884,1.337261
0.730000,0.376739,0.629571,1.334526
0.740000,0.383047,0.623261,1.331760
0.750000,0.389351,0.616953,1.328965
0.760000,0.395650,0.610649,1.326142
0.770000,0.401943,0.604350,1.323291
0.780000,0.408231,0.598057,1.320414
0.790000,0.414511,0.591769,1.317511
0.800000,0.420783,0.585489,1.314584
0.810000,0.427045,0.579217,1.311633
0.820000,0.433298,0.572955,1.308659
0.830000,0.439541,0.566702,1.305664
0.840000,0.445771,0.560459,1.302649
0.850000,0.451990,0.554229,1.299613
0.860000,0.458195,0.548010,1.296559
0.870000,0.464386,0.541805,1.293487
0.880000,0.470563,0.535614,1.290397
0.890000,0.476724,0.529437,1.287292
0.900000,0.482869,0.523276,1.284172
0.910000,0.488997,0.517131,1.281037
0.920000,0.495107,0.511003,1.277889
0.930000,0.501199,0.504893,1.274728
0.940000,0.507271,0.498801,1.271555
0.950000,0.513324,0.492729,1.268372
0.960000,0.519356,0.486676,1.265179
0.970000,0.525368,0.480644,1.261976
0.980000,0.531357,0.474632,1.258766
0.990000,0.537324,0.468643,1.255547
1.000000,0.543267,0.462676,1.252322
1.010000,0.549187,0.456733,1.249091
1.020000,0.555082,0.450813,1.245856
1.030000,0.560953,0.444918,1.242615
1.040000,0.566798,0.439047,1.239371
1.050000,0.572616,0.433202,1.236125
1.060000,0.578408,0.427384,1.232876
1.070000,0.584173,0.421592,1.229626
1.080000,0.589909,0.415827,1.226375
1.090000,0.595618,0.410091,1.223125
1.100000,0.601297,0.404382,1.219875
1.110000,0.606947,0.398703,1.216627
1.120000,0.612567,0.393053,1.213382
1.130000,0.618156,0.387433,1.210139
1.140000,0.623714,0.381844,1.206900
1.150000,0.629241,0.376286,1.203665
1.160000,0.634737,0.370759,1.200435
1.170000,0.640199,0.365263,1.197210
1.180000,0.645630,0.359801,1.193992
1.190000,0.651026,0.354370,1.190781
1.200000,0.656390,0.348974,1.187577
1.210000,0.661719,0.343610,1.184381
1.220000,0.667013,0.338281,1.181194
1.230000,0.672273,0.332987,1.178016
1.240000,0.677498,0.327727,1.174848
1.250000,0.682687,0.322502,1.171690
1.260000,0.687840,0.317313,1.168543
1.270000,0.692957,0.312160,1.165408
1.280000,0.698038,0.307043,1.162285
1.290000,0.703081,0.301962,1.159174
1.300000,0.708087,0.296919,1.156076
1.310000,0.713055,0.291913,1.152992
1.320000,0.717986,0.286945,1.149923
1.330000,0.722879,0.282014,1.146867
1.340000,0.727733,0.277121,1.143827
1.350000,0.732548,0.272267,1.140802
1.360000,0.737325,0.267452,1.137793
1.370000,0.742062,0.262675,1.134801
1.380000,0.746760,0.257938,1.131826
1.390000,0.751418,0.253240,1.128868
1.400000,0.756036,0.248582,1.125927
1.410000,0.760614,0.243964,1.123005
1.420000,0.765152,0.239386,1.120102
1.430000,0.769650,0.234848,1.117217
1.440000,0.774106,0.230350,1.114352
1.450000,0.778522,0.225894,1.111507
1.460000,0.782897,0.221478,1.108682
1.470000,0.787231,0.217103,1.105877
1.480000,0.791523,0.212769,1.103093
1.490000,0.795774,0.208477,1.100330
1.500000,0.799984,0.204226,1.097589
1.510000,0.804151,0.200016,1.094870
1.520000,0.808277,0.195849,1.092173
1.530000,0.812361,0.191723,1.089498
1.540000,0.816403,0.187639,1.086846
1.550000,0.820403,0.183597,1.084217
1.560000,0.824361,0.179597,1.081612
1.570000,0.828276,0.175639,1.079030
1.580000,0.832150,0.171724,1.076472
1.590000,0.835981,0.167850,1.073938
