method,ISE,ITAE,energy,overshoot_pct,settle_time,J
PID-ZN,0.371744,11.8832,978.14,9.12244,20,11.3415
PID-IMC-3,0.557893,1.08886,27.9616,7.67129,5.51,0.946396
PID-IMC-5,0.644701,1.25022,26.6006,3.58934,6.04,1.03573
PID-IMC-10,0.866166,2.39313,24.6364,0,7.26,1.35184
PID-CohenCoon,0.440422,1.33314,35.0552,27.4331,5.49,0.924288
PID-NM,0.404632,0.658791,32.8604,4.78886,4.2,0.799114
LQR-Bryson,0.310547,0.282498,249.516,35.1121,1.93,2.83396
LQR-NM,0.310545,0.281982,243.527,35.1121,1.93,2.77402
SMC-default,556.454,1093.13,500,0,20,670.766
SMC-NM,23.4964,217.765,0.2,0,20,45.2748
ADRC-default,0.447363,10.112,2000,0,20,21.4586
ADRC-NM,0.417981,8.46501,2000,0,20,21.2645
LeadLag-LS,3.63937,83.5567,19.8907,0,20,12.1939
SmithPredictor,0.652831,1.25573,26.4877,2.52188,6.07,1.04328
