t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.382900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,2.949000e-03
1.000000e+00,1.400045e+02,1.283790e+02,-1.134588e-01,6.098900e-01,9.344700e-01,6.882900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.995544e+00,2.620951e+00,-1.559471e-02,3.995544e+00,5.620951e+00,1.559471e-02,7.982196e+00,1.586938e+01,2.431948e-04,5.898000e-03
2.000000e+00,1.400133e+02,1.290998e+02,-9.802270e-02,6.168900e-01,9.544700e-01,6.382900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.986651e+00,1.900227e+00,-3.103077e-02,5.982195e+00,7.521178e+00,4.662547e-02,1.192898e+01,1.948025e+01,1.206103e-03,8.847000e-03
3.000000e+00,1.400267e+02,1.301285e+02,-8.274145e-02,6.238900e-01,9.490843e-01,5.882900e-01,7.000000e-03,-5.385665e-03,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.973338e+00,8.714720e-01,-4.631202e-02,7.955533e+00,8.392650e+00,9.293749e-02,1.582304e+01,2.023971e+01,3.350907e-03,1.142501e-02
4.000000e+00,1.400562e+02,1.309538e+02,-8.425800e-02,6.308900e-01,9.290843e-01,5.382900e-01,7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.943755e+00,4.620701e-02,-4.479547e-02,9.899288e+00,8.438857e+00,1.377330e-01,1.960122e+01,2.024184e+01,5.357540e-03,1.437401e-02
5.000000e+00,1.401089e+02,1.313206e+02,-9.529610e-02,6.378900e-01,9.090843e-01,4.882900e-01,7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.891125e+00,-3.205552e-01,-3.375737e-02,1.179041e+01,8.759412e+00,1.714903e-01,2.317758e+01,2.034460e+01,6.497100e-03,1.732301e-02
6.000000e+00,1.401845e+02,1.312769e+02,-1.061503e-01,6.448900e-01,8.940293e-01,4.382900e-01,7.000000e-03,-1.505500e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.815524e+00,-2.769066e-01,-2.290318e-02,1.360594e+01,9.036318e+00,1.943935e-01,2.647371e+01,2.042128e+01,7.021656e-03,2.009866e-02
7.000000e+00,1.402807e+02,1.309598e+02,-1.135739e-01,6.518900e-01,9.086801e-01,3.882900e-01,7.000000e-03,1.465076e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.719334e+00,4.021762e-02,-1.547956e-02,1.532527e+01,9.076536e+00,2.098731e-01,2.942982e+01,2.042289e+01,7.261273e-03,2.286230e-02
8.000000e+00,1.403835e+02,1.309626e+02,-1.013174e-01,6.588900e-01,9.081506e-01,3.382900e-01,7.000000e-03,-5.295178e-04,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.616530e+00,3.741292e-02,-2.773606e-02,1.694180e+01,9.113949e+00,2.376091e-01,3.204299e+01,2.042429e+01,8.030562e-03,2.541158e-02
9.000000e+00,1.405000e+02,1.309658e+02,-9.911826e-02,6.658900e-01,9.075477e-01,2.882900e-01,7.000000e-03,-6.028397e-04,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.500028e+00,3.415667e-02,-2.993521e-02,1.844183e+01,9.148106e+00,2.675443e-01,3.429307e+01,2.042546e+01,8.926678e-03,2.796095e-02
