t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.958900e-01,8.944700e-01,7.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,2.500000e-03
1.000000e+00,1.449907e+02,1.312154e+02,-8.520693e-02,5.958900e-01,8.944700e-01,6.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.990670e+00,-3.215375e+00,-4.384654e-02,9.990670e+00,6.215375e+00,8.726223e-02,4.990678e+01,1.933864e+01,3.807441e-03,5.000000e-03
2.000000e+00,1.449889e+02,1.314082e+02,-8.478385e-02,5.958900e-01,8.944700e-01,6.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.988871e+00,-3.408249e+00,-4.426962e-02,1.497954e+01,9.623625e+00,1.315318e-01,7.479561e+01,3.095480e+01,5.767240e-03,7.500000e-03
3.000000e+00,1.449946e+02,1.315817e+02,-8.436688e-02,5.958900e-01,8.944700e-01,5.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.994578e+00,-3.581650e+00,-4.468658e-02,1.997412e+01,1.320527e+01,1.762184e-01,9.974142e+01,4.378302e+01,7.764131e-03,1.000000e-02
4.000000e+00,1.450078e+02,1.317383e+02,-8.395345e-02,5.958900e-01,8.944700e-01,5.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.007766e+00,-3.738300e+00,-4.510002e-02,2.498188e+01,1.694358e+01,2.213184e-01,1.248191e+02,5.775791e+01,9.798143e-03,1.250000e-02
5.000000e+00,1.450284e+02,1.318806e+02,-8.354003e-02,5.958900e-01,8.944700e-01,4.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.028409e+00,-3.880648e+00,-4.551344e-02,3.001029e+01,2.082422e+01,2.668319e-01,1.501040e+02,7.281734e+01,1.186962e-02,1.500000e-02
6.000000e+00,1.450565e+02,1.320109e+02,-8.312213e-02,5.958900e-01,8.944700e-01,4.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.056483e+00,-4.010893e+00,-4.593133e-02,3.506678e+01,2.483512e+01,3.127632e-01,1.756721e+02,8.890460e+01,1.397930e-02,1.750000e-02
7.000000e+00,1.450920e+02,1.321310e+02,-8.269430e-02,5.958900e-01,8.944700e-01,3.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.091962e+00,-4.131015e+00,-4.635916e-02,4.015874e+01,2.896613e+01,3.591224e-01,2.016001e+02,1.059699e+02,1.612848e-02,2.000000e-02
8.000000e+00,1.451348e+02,1.322428e+02,-8.225007e-02,5.958900e-01,8.944700e-01,3.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.134821e+00,-4.242790e+00,-4.680339e-02,4.529356e+01,3.320892e+01,4.059258e-01,2.279665e+02,1.239712e+02,1.831903e-02,2.250000e-02
9.000000e+00,1.451850e+02,1.323478e+02,-8.178194e-02,5.958900e-01,8.944700e-01,2.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.185036e+00,-4.347815e+00,-4.727153e-02,5.047860e+01,3.755674e+01,4.531973e-01,2.548511e+02,1.428746e+02,2.055363e-02,2.500000e-02
