t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.882900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.490000e-04
1.000000e+00,1.399970e+02,1.283790e+02,-1.140955e-01,6.098900e-01,9.185810e-01,7.382900e-01,7.000000e-03,4.111008e-03,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.003044e+00,2.620951e+00,-1.495800e-02,4.003044e+00,5.620951e+00,1.495800e-02,8.012185e+00,1.586938e+01,2.237418e-04,3.014900e-03
2.000000e+00,1.400058e+02,1.287978e+02,-1.090172e-01,6.168900e-01,9.112095e-01,7.201112e-01,7.000000e-03,-7.371517e-03,-1.817880e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.994199e+00,2.202208e+00,-2.003624e-02,5.997243e+00,7.823158e+00,3.499424e-02,1.198901e+01,2.071910e+01,6.251927e-04,3.448708e-03
3.000000e+00,1.400271e+02,1.290359e+02,-1.118976e-01,6.238900e-01,9.219056e-01,7.701112e-01,7.000000e-03,1.069615e-02,5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.972912e+00,1.964128e+00,-1.715582e-02,7.970155e+00,9.787287e+00,5.215006e-02,1.588140e+01,2.457690e+01,9.195148e-04,6.112116e-03
4.000000e+00,1.400421e+02,1.294552e+02,-1.036860e-01,6.308900e-01,9.035178e-01,7.201112e-01,7.000000e-03,-1.838789e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.957898e+00,1.544826e+00,-2.536742e-02,9.928053e+00,1.133211e+01,7.751748e-02,1.971476e+01,2.696339e+01,1.563021e-03,8.999230e-03
5.000000e+00,1.400795e+02,1.294855e+02,-1.132345e-01,6.378900e-01,9.235178e-01,7.701112e-01,7.000000e-03,2.000000e-02,5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.920539e+00,1.514502e+00,-1.581899e-02,1.184859e+01,1.284662e+01,9.333647e-02,2.340323e+01,2.925711e+01,1.813261e-03,1.194823e-02
6.000000e+00,1.401061e+02,1.298960e+02,-9.870743e-02,6.448900e-01,9.035178e-01,7.201112e-01,7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.893861e+00,1.103980e+00,-3.034604e-02,1.374245e+01,1.395060e+01,1.236825e-01,2.698994e+01,3.047588e+01,2.734143e-03,1.489723e-02
7.000000e+00,1.401559e+02,1.298889e+02,-1.091907e-01,6.518900e-01,9.235178e-01,7.701112e-01,7.000000e-03,2.000000e-02,5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.844119e+00,1.111066e+00,-1.986273e-02,1.558657e+01,1.506166e+01,1.435452e-01,3.039072e+01,3.171035e+01,3.128671e-03,1.784623e-02
8.000000e+00,1.401949e+02,1.302673e+02,-9.451418e-02,6.588900e-01,9.035178e-01,7.201112e-01,7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.805106e+00,7.326879e-01,-3.453929e-02,1.739168e+01,1.579435e+01,1.780845e-01,3.364912e+01,3.224718e+01,4.321634e-03,2.079523e-02
9.000000e+00,1.402569e+02,1.302324e+02,-1.048644e-01,6.615532e-01,9.235178e-01,7.701112e-01,2.663158e-03,2.000000e-02,5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.743066e+00,7.676498e-01,-2.418905e-02,1.913474e+01,1.656200e+01,2.022736e-01,3.668740e+01,3.283646e+01,4.906744e-03,2.370232e-02
