t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,2.897900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,2.949000e-03
1.000000e+00,9.720760e+01,5.075141e+01,-1.058059e-01,2.844900e-01,6.608200e-01,2.397900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,1.992398e+00,2.748592e+00,-1.116300e-02,3.992398e+00,5.748592e+00,1.116300e-02,7.969649e+00,1.655476e+01,1.246126e-04,5.898000e-03
2.000000e+00,9.722279e+01,5.122963e+01,-9.517224e-02,2.914900e-01,6.808200e-01,1.897900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,1.977214e+00,2.270372e+00,-2.179662e-02,5.969612e+00,8.018965e+00,3.295962e-02,1.187903e+01,2.170935e+01,5.997053e-04,8.847000e-03
3.000000e+00,9.724553e+01,5.191253e+01,-8.506563e-02,2.984900e-01,7.008200e-01,1.397900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,1.954469e+00,1.587467e+00,-3.190323e-02,7.924081e+00,9.606432e+00,6.486286e-02,1.569897e+01,2.422940e+01,1.617522e-03,1.179600e-02
4.000000e+00,9.727582e+01,5.278027e+01,-7.548339e-02,3.054900e-01,6.924026e-01,8.979000e-02,7.000000e-03,-8.417423e-03,-5.000000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,1.924183e+00,7.197266e-01,-4.148548e-02,9.848264e+00,1.032616e+01,1.063483e-01,1.940145e+01,2.474741e+01,3.338567e-03,1.441585e-02
5.000000e+00,9.732244e+01,5.345744e+01,-7.931127e-02,3.124900e-01,6.724026e-01,3.979000e-02,7.000000e-03,-2.000000e-02,-5.000000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,1.877561e+00,4.256457e-02,-3.765759e-02,1.172582e+01,1.036872e+01,1.440059e-01,2.292669e+01,2.474922e+01,4.756661e-03,1.736485e-02
6.000000e+00,9.738895e+01,5.381827e+01,-8.869697e-02,3.194900e-01,6.524026e-01,0.000000e+00,7.000000e-03,-2.000000e-02,-3.979000e-02,9.920000e+01,5.350000e+01,-1.169689e-01,1.811046e+00,-3.182710e-01,-2.827189e-02,1.353687e+01,1.068699e+01,1.722778e-01,2.620657e+01,2.485052e+01,5.555961e-03,1.939710e-02
7.000000e+00,9.747379e+01,5.389540e+01,-9.836118e-02,3.264900e-01,6.324026e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.726208e+00,-3.953959e-01,-1.860768e-02,1.526308e+01,1.108239e+01,1.908855e-01,2.918637e+01,2.500685e+01,5.902207e-03,1.984610e-02
8.000000e+00,9.757095e+01,5.371790e+01,-1.084051e-01,3.334900e-01,6.248225e-01,0.000000e+00,7.000000e-03,-7.580051e-03,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.629049e+00,-2.178966e-01,-8.563781e-03,1.689213e+01,1.130029e+01,1.994493e-01,3.184017e+01,2.505433e+01,5.975545e-03,1.995255e-02
9.000000e+00,9.767655e+01,5.346828e+01,-1.126208e-01,3.404900e-01,6.423333e-01,0.000000e+00,7.000000e-03,1.751074e-02,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.523451e+00,3.172300e-02,-4.348019e-03,1.841558e+01,1.133201e+01,2.037973e-01,3.416107e+01,2.505534e+01,5.994450e-03,2.030818e-02
1.000000e+01,9.778275e+01,5.347124e+01,-1.053151e-01,3.474900e-01,6.418397e-01,0.000000e+00,7.000000e-03,-4.935560e-04,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.417248e+00,2.876212e-02,-1.165372e-02,1.983283e+01,1.136077e+01,2.154510e-01,3.616967e+01,2.505617e+01,6.130259e-03,2.035742e-02
1.100000e+01,9.789516e+01,5.347420e+01,-1.063186e-01,3.544900e-01,6.413391e-01,0.000000e+00,7.000000e-03,-5.006200e-04,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.304836e+00,2.580049e-02,-1.065024e-02,2.113766e+01,1.138657e+01,2.261013e-01,3.787226e+01,2.505683e+01,6.243687e-03,2.040667e-02
1.200000e+01,9.801377e+01,5.347744e+01,-1.072910e-01,3.614900e-01,6.409158e-01,0.000000e+00,7.000000e-03,-4.233153e-04,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.186227e+00,2.256029e-02,-9.677902e-03,2.232389e+01,1.140913e+01,2.357792e-01,3.927940e+01,2.505734e+01,6.337349e-03,2.045585e-02
1.300000e+01,9.813854e+01,5.348228e+01,-1.081935e-01,3.684900e-01,6.402700e-01,0.000000e+00,7.000000e-03,-6.458072e-04,0.000000e+00,9.920000e+01,5.350000e+01,-1.169689e-01,1.061459e+00,1.772299e-02,-8.775331e-03,2.338535e+01,1.142686e+01,2.445545e-01,4.040609e+01,2.505766e+01,6.414355e-03,2.050527e-02
