t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.888900e-01,8.744700e-01,8.382900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,2.949000e-03
1.000000e+00,1.449791e+02,1.308210e+02,-1.020281e-01,5.818900e-01,8.544700e-01,8.882900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.979094e+00,-2.821016e+00,-2.702535e-02,9.979094e+00,5.821016e+00,7.044104e-02,4.979137e+01,1.695813e+01,2.615292e-03,5.898000e-03
2.000000e+00,1.449542e+02,1.302635e+02,-1.183154e-01,5.748900e-01,8.344700e-01,9.382900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.954178e+00,-2.263540e+00,-1.073810e-02,1.493327e+01,8.084556e+00,8.117914e-02,7.433526e+01,2.208175e+01,2.730599e-03,8.847000e-03
3.000000e+00,1.449253e+02,1.293652e+02,-1.344952e-01,5.678900e-01,8.144700e-01,9.882900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.925264e+00,-1.365171e+00,5.441772e-03,1.985854e+01,9.449727e+00,8.662091e-02,9.859348e+01,2.394544e+01,2.760212e-03,1.179600e-02
4.000000e+00,1.448924e+02,1.281598e+02,-1.505618e-01,5.608900e-01,8.344700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,1.171000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.892359e+00,-1.597869e-01,2.150837e-02,2.475090e+01,9.609514e+00,1.081293e-01,1.225287e+02,2.397097e+01,3.222821e-03,1.238212e-02
5.000000e+00,1.448418e+02,1.274660e+02,-1.388163e-01,5.538900e-01,8.544700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.841783e+00,5.340254e-01,9.762871e-03,2.959268e+01,1.014354e+01,1.178922e-01,1.459715e+02,2.425615e+01,3.318135e-03,1.283112e-02
6.000000e+00,1.447754e+02,1.272307e+02,-1.271415e-01,5.468900e-01,8.744700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.775354e+00,7.693417e-01,-1.911937e-03,3.436803e+01,1.091288e+01,1.198041e-01,1.687755e+02,2.484804e+01,3.321790e-03,1.328012e-02
7.000000e+00,1.446931e+02,1.274061e+02,-1.157053e-01,5.398900e-01,8.944700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.693132e+00,5.939097e-01,-1.334814e-02,3.906116e+01,1.150679e+01,1.331522e-01,1.908010e+02,2.520077e+01,3.499963e-03,1.372912e-02
8.000000e+00,1.445952e+02,1.279492e+02,-1.045121e-01,5.328900e-01,8.824153e-01,1.000000e+00,-7.000000e-03,-1.205469e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.595180e+00,5.084138e-02,-2.454141e-02,4.365634e+01,1.155763e+01,1.576936e-01,2.119167e+02,2.520335e+01,4.102244e-03,1.392344e-02
9.000000e+00,1.444971e+02,1.281909e+02,-1.152766e-01,5.258900e-01,8.710752e-01,1.000000e+00,-7.000000e-03,-1.134016e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.497101e+00,-1.908566e-01,-1.377685e-02,4.815344e+01,1.174849e+01,1.714705e-01,2.321406e+02,2.523978e+01,4.292046e-03,1.410104e-02
1.000000e+01,1.443985e+02,1.281757e+02,-1.255091e-01,5.188900e-01,8.721230e-01,1.000000e+00,-7.000000e-03,1.047884e-03,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.398541e+00,-1.757048e-01,-3.544317e-03,5.255199e+01,1.192419e+01,1.750148e-01,2.514878e+02,2.527065e+01,4.304608e-03,1.415114e-02
1.100000e+01,1.442935e+02,1.281728e+02,-1.273191e-01,5.118900e-01,8.726011e-01,1.000000e+00,-7.000000e-03,4.780599e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.293497e+00,-1.728091e-01,-1.734336e-03,5.684548e+01,1.209700e+01,1.767491e-01,2.699219e+02,2.530051e+01,4.307616e-03,1.420037e-02
1.200000e+01,1.441823e+02,1.281691e+02,-1.295838e-01,5.048900e-01,8.731387e-01,1.000000e+00,-7.000000e-03,5.376425e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.182268e+00,-1.690909e-01,5.303552e-04,6.102775e+01,1.226609e+01,1.772795e-01,2.874133e+02,2.532911e+01,4.307897e-03,1.424965e-02
1.300000e+01,1.440648e+02,1.281652e+02,-1.318720e-01,4.978900e-01,8.737063e-01,1.000000e+00,-7.000000e-03,5.675191e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.064845e+00,-1.651669e-01,2.818489e-03,6.509260e+01,1.243126e+01,1.800980e-01,3.039362e+02,2.535639e+01,4.315841e-03,1.429898e-02
1.400000e+01,1.439412e+02,1.281610e+02,-1.342035e-01,4.908900e-01,8.743052e-01,1.000000e+00,-7.000000e-03,5.988925e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.941234e+00,-1.610056e-01,5.150052e-03,6.903383e+01,1.259227e+01,1.852480e-01,3.194695e+02,2.538231e+01,4.342364e-03,1.434834e-02
1.500000e+01,1.438114e+02,1.281566e+02,-1.365772e-01,4.838900e-01,8.749355e-01,1.000000e+00,-7.000000e-03,6.303175e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.811441e+00,-1.566057e-01,7.523688e-03,7.284527e+01,1.274887e+01,1.927717e-01,3.339966e+02,2.540683e+01,4.398970e-03,1.439773e-02
1.600000e+01,1.436755e+02,1.281520e+02,-1.389925e-01,4.768900e-01,8.755973e-01,1.000000e+00,-7.000000e-03,6.618685e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.675473e+00,-1.519641e-01,9.939036e-03,7.652074e+01,1.290084e+01,2.027108e-01,3.475057e+02,2.542993e+01,4.497755e-03,1.444717e-02
1.700000e+01,1.435333e+02,1.281471e+02,-1.414492e-01,4.698900e-01,8.762909e-01,1.000000e+00,-7.000000e-03,6.935506e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.533334e+00,-1.470777e-01,1.239569e-02,8.005408e+01,1.304791e+01,2.151065e-01,3.599902e+02,2.545156e+01,4.651408e-03,1.449665e-02
1.800000e+01,1.433850e+02,1.281419e+02,-1.439467e-01,4.628900e-01,8.770163e-01,1.000000e+00,-7.000000e-03,7.253720e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.385031e+00,-1.419433e-01,1.489324e-02,8.343911e+01,1.318986e+01,2.299997e-01,3.714486e+02,2.547171e+01,4.873216e-03,1.454618e-02
1.900000e+01,1.432306e+02,1.281366e+02,-1.464847e-01,4.558900e-01,8.777736e-01,1.000000e+00,-7.000000e-03,7.573408e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.230569e+00,-1.365574e-01,1.743128e-02,8.666968e+01,1.332641e+01,2.474310e-01,3.818852e+02,2.549036e+01,5.177066e-03,1.459575e-02
