t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.882900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,1.399970e+02,1.283790e+02,-1.140955e-01,6.098900e-01,9.344700e-01,7.725967e-01,7.000000e-03,2.000000e-02,-1.569325e-02,1.500000e+02,1.480000e+02,-1.290535e-01,1.000304e+01,1.962095e+01,-1.495800e-02,2.000304e+01,3.962095e+01,1.495800e-02,2.000609e+02,7.849817e+02,2.237418e-04,1.144278e-03
2.000000e+00,1.399932e+02,1.290990e+02,-9.903742e-02,6.168900e-01,9.544700e-01,7.575459e-01,7.000000e-03,2.000000e-02,-1.505089e-02,1.500000e+02,1.480000e+02,-1.290535e-01,1.000677e+01,1.890104e+01,-3.001604e-02,3.000981e+01,5.852199e+01,4.497405e-02,3.001964e+02,1.142231e+03,1.124705e-03,1.819808e-03
3.000000e+00,1.399887e+02,1.301255e+02,-8.410637e-02,6.238900e-01,9.744700e-01,7.431796e-01,7.000000e-03,2.000000e-02,-1.436624e-02,1.500000e+02,1.480000e+02,-1.290535e-01,1.001127e+01,1.787446e+01,-4.494709e-02,4.002109e+01,7.639646e+01,8.992114e-02,4.004220e+02,1.461728e+03,3.144946e-03,2.475196e-03
4.000000e+00,1.399833e+02,1.314280e+02,-6.930147e-02,6.308900e-01,9.944700e-01,7.294342e-01,7.000000e-03,2.000000e-02,-1.374544e-02,1.500000e+02,1.480000e+02,-1.290535e-01,1.001665e+01,1.657198e+01,-5.975200e-02,5.003774e+01,9.296844e+01,1.496731e-01,5.007553e+02,1.736358e+03,6.715247e-03,3.113133e-03
5.000000e+00,1.399770e+02,1.329787e+02,-5.462021e-02,6.378900e-01,1.000000e+00,7.162720e-01,7.000000e-03,5.530000e-03,-1.316218e-02,1.500000e+02,1.480000e+02,-1.290535e-01,1.002300e+01,1.502132e+01,-7.443326e-02,6.006074e+01,1.079898e+02,2.241064e-01,6.012157e+02,1.961998e+03,1.225556e-02,3.365957e-03
6.000000e+00,1.399764e+02,1.344783e+02,-4.954303e-02,6.448900e-01,1.000000e+00,7.136106e-01,7.000000e-03,0.000000e+00,-2.661406e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.002363e+01,1.352168e+01,-7.951044e-02,7.008436e+01,1.215114e+02,3.036168e-01,7.016888e+02,2.144834e+03,1.857747e-02,3.422040e-03
7.000000e+00,1.399824e+02,1.358279e+02,-4.820993e-02,6.518900e-01,1.000000e+00,7.148014e-01,7.000000e-03,0.000000e+00,1.190835e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.001755e+01,1.217208e+01,-8.084353e-02,8.010192e+01,1.336835e+02,3.844604e-01,8.020402e+02,2.292994e+03,2.511314e-02,3.472459e-03
8.000000e+00,1.399946e+02,1.370433e+02,-4.685132e-02,6.588900e-01,1.000000e+00,7.158107e-01,7.000000e-03,0.000000e+00,1.009233e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.000538e+01,1.095671e+01,-8.220214e-02,9.010730e+01,1.446402e+02,4.666625e-01,9.021479e+02,2.413043e+03,3.187034e-02,3.522477e-03
9.000000e+00,1.400129e+02,1.381386e+02,-4.541119e-02,6.658900e-01,1.000000e+00,7.166465e-01,7.000000e-03,0.000000e+00,8.358438e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.987110e+00,9.861438e+00,-8.364227e-02,1.000944e+02,1.545017e+02,5.503048e-01,1.001890e+03,2.510291e+03,3.886637e-02,3.572176e-03
1.000000e+01,1.400373e+02,1.391265e+02,-4.388996e-02,6.728900e-01,1.000000e+00,7.173271e-01,7.000000e-03,0.000000e+00,6.805553e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.962730e+00,8.873516e+00,-8.516351e-02,1.100571e+02,1.633752e+02,6.354683e-01,1.101146e+03,2.589030e+03,4.611919e-02,3.621639e-03
1.100000e+01,1.400678e+02,1.400185e+02,-4.228814e-02,6.798900e-01,1.000000e+00,7.178609e-01,7.000000e-03,0.000000e+00,5.338340e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.932244e+00,7.981487e+00,-8.676533e-02,1.199894e+02,1.713567e+02,7.222336e-01,1.199796e+03,2.652735e+03,5.364741e-02,3.670924e-03
1.200000e+01,1.401043e+02,1.408250e+02,-4.060610e-02,6.868900e-01,1.000000e+00,7.182545e-01,7.000000e-03,0.000000e+00,3.936354e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.895653e+00,7.175035e+00,-8.844736e-02,1.298850e+02,1.785317e+02,8.106810e-01,1.297720e+03,2.704216e+03,6.147035e-02,3.720079e-03
1.300000e+01,1.401470e+02,1.415551e+02,-3.884416e-02,6.938900e-01,1.000000e+00,7.185139e-01,7.000000e-03,0.000000e+00,2.593435e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.852958e+00,6.444877e+00,-9.020931e-02,1.397380e+02,1.849766e+02,9.008903e-01,1.394800e+03,2.745752e+03,6.960807e-02,3.769146e-03
1.400000e+01,1.401958e+02,1.422173e+02,-3.700259e-02,7.008900e-01,1.000000e+00,7.186445e-01,7.000000e-03,0.000000e+00,1.305946e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.804163e+00,5.782655e+00,-9.205088e-02,1.495422e+02,1.907592e+02,9.929412e-01,1.490922e+03,2.779191e+03,7.808143e-02,3.818163e-03
1.500000e+01,1.402507e+02,1.428191e+02,-3.508165e-02,7.078900e-01,9.800000e-01,7.186515e-01,7.000000e-03,-2.000000e-02,7.079377e-06,1.500000e+02,1.480000e+02,-1.290535e-01,9.749270e+00,5.180852e+00,-9.397182e-02,1.592914e+02,1.959401e+02,1.086913e+00,1.585970e+03,2.806032e+03,8.691213e-02,4.267163e-03
1.600000e+01,1.403211e+02,1.429874e+02,-4.622380e-02,7.148900e-01,1.000000e+00,7.323283e-01,7.000000e-03,2.000000e-02,1.367675e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.678919e+00,5.012557e+00,-8.282967e-02,1.689703e+02,2.009527e+02,1.169743e+00,1.679652e+03,2.831158e+03,9.377289e-02,4.903217e-03
1.700000e+01,1.403861e+02,1.435271e+02,-3.101113e-02,7.218900e-01,9.800000e-01,7.176671e-01,7.000000e-03,-2.000000e-02,-1.466121e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.613949e+00,4.472865e+00,-9.804233e-02,1.785843e+02,2.054255e+02,1.267785e+00,1.772080e+03,2.851165e+03,1.033852e-01,5.567168e-03
1.800000e+01,1.404687e+02,1.436403e+02,-4.181005e-02,7.288900e-01,9.949578e-01,7.311019e-01,7.000000e-03,1.495778e-02,1.343481e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.531348e+00,4.359683e+00,-8.724342e-02,1.881156e+02,2.097852e+02,1.355028e+00,1.862926e+03,2.870172e+03,1.109966e-01,6.020397e-03
1.900000e+01,1.405482e+02,1.440363e+02,-2.974698e-02,7.358900e-01,9.749578e-01,7.197529e-01,7.000000e-03,-2.000000e-02,-1.134895e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.451783e+00,3.963655e+00,-9.930649e-02,1.975674e+02,2.137489e+02,1.454335e+00,1.952263e+03,2.885882e+03,1.208584e-01,6.598195e-03
