t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.008200e-01,3.417010e-01,-7.000000e-03,-2.000000e-02,1.911024e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.526520e-04
1.000000e+00,1.021888e+02,5.322705e+01,-1.563472e-01,2.564900e-01,6.208200e-01,3.421639e-01,-7.000000e-03,2.000000e-02,4.628594e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988803e+00,-2.727047e+00,3.937829e-02,9.988803e+00,5.727047e+00,6.720874e-02,4.988815e+01,1.643679e+01,2.325184e-03,9.018663e-04
2.000000e+00,1.021647e+02,5.324679e+01,-1.486750e-01,2.494900e-01,6.008200e-01,3.414900e-01,-7.000000e-03,-2.000000e-02,-6.738737e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.964701e+00,-2.746794e+00,3.170612e-02,1.495350e+01,8.473841e+00,9.891487e-02,7.453641e+01,2.398166e+01,3.330462e-03,1.351320e-03
3.000000e+00,1.021410e+02,5.299719e+01,-1.602442e-01,2.424900e-01,5.808200e-01,3.424147e-01,-7.000000e-03,-2.000000e-02,9.246993e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.941012e+00,-2.497189e+00,4.327529e-02,1.989452e+01,1.097103e+01,1.421902e-01,9.895001e+01,3.021762e+01,5.203212e-03,1.801175e-03
4.000000e+00,1.021175e+02,5.250533e+01,-1.716875e-01,2.354900e-01,6.008200e-01,3.431386e-01,-7.000000e-03,2.000000e-02,7.238951e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.917492e+00,-2.005330e+00,5.471865e-02,2.481201e+01,1.297636e+01,1.969088e-01,1.231317e+02,3.423897e+01,8.197343e-03,2.250699e-03
5.000000e+00,1.020811e+02,5.232723e+01,-1.639380e-01,2.284900e-01,5.808200e-01,3.425325e-01,-7.000000e-03,-2.000000e-02,-6.060999e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.881058e+00,-1.827233e+00,4.696916e-02,2.969307e+01,1.480359e+01,2.438780e-01,1.469565e+02,3.757775e+01,1.040344e-02,2.700067e-03
6.000000e+00,1.020450e+02,5.189919e+01,-1.754104e-01,2.214900e-01,5.608200e-01,3.434895e-01,-7.000000e-03,-2.000000e-02,9.570396e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.845046e+00,-1.399195e+00,5.844155e-02,3.453811e+01,1.620279e+01,3.023195e-01,1.704309e+02,3.953549e+01,1.381886e-02,3.149983e-03
7.000000e+00,1.020092e+02,5.124644e+01,-1.867535e-01,2.144900e-01,5.808200e-01,3.442390e-01,-7.000000e-03,2.000000e-02,7.495023e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.809215e+00,-7.464442e-01,6.978468e-02,3.934733e+01,1.694923e+01,3.721042e-01,1.935595e+02,4.009267e+01,1.868876e-02,3.599544e-03
8.000000e+00,1.019605e+02,5.092268e+01,-1.789222e-01,2.074900e-01,5.608200e-01,3.436592e-01,-7.000000e-03,-2.000000e-02,-5.798334e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.760498e+00,-4.226810e-01,6.195338e-02,4.410783e+01,1.737191e+01,4.340576e-01,2.162218e+02,4.027133e+01,2.252698e-02,4.048881e-03
9.000000e+00,1.019122e+02,5.036335e+01,-1.902894e-01,2.004900e-01,5.594731e-01,3.446404e-01,-7.000000e-03,-1.346904e-03,9.811749e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.712213e+00,1.366473e-01,7.332055e-02,4.882004e+01,1.750856e+01,5.073781e-01,2.384268e+02,4.029000e+01,2.790289e-02,4.100658e-03
1.000000e+01,1.018580e+02,4.983968e+01,-1.926629e-01,1.934900e-01,5.794731e-01,3.448054e-01,-7.000000e-03,2.000000e-02,1.649892e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.658019e+00,6.603190e-01,7.569399e-02,5.347806e+01,1.816888e+01,5.830721e-01,2.601239e+02,4.072603e+01,3.363247e-02,4.549685e-03
1.100000e+01,1.017911e+02,4.963074e+01,-1.849047e-01,1.864900e-01,5.670544e-01,3.443669e-01,-7.000000e-03,-1.241871e-02,-4.384362e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.591074e+00,8.692611e-01,6.793582e-02,5.806913e+01,1.903814e+01,6.510079e-01,2.812019e+02,4.148164e+01,3.824774e-02,4.753101e-03
1.200000e+01,1.017221e+02,4.927470e+01,-1.927247e-01,1.794900e-01,5.870544e-01,3.451367e-01,-7.000000e-03,2.000000e-02,7.697340e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.522090e+00,1.225304e+00,7.575586e-02,6.259122e+01,2.026345e+01,7.267638e-01,3.016512e+02,4.298301e+01,4.398669e-02,5.202694e-03
