t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,7.262000e-02,7.000000e-03,2.000000e-02,-5.000000e-02,7.760000e+01,1.830000e+01,-1.096096e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,2.949000e-03
1.000000e+00,7.560912e+01,1.548958e+01,-1.005370e-01,1.332600e-01,4.206300e-01,2.262000e-02,7.000000e-03,2.000000e-02,-5.000000e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.990876e+00,2.810424e+00,-9.072616e-03,3.990876e+00,5.810424e+00,9.072616e-03,7.963586e+00,1.689848e+01,8.231235e-05,5.898000e-03
2.000000e+00,7.562736e+01,1.584999e+01,-9.203409e-02,1.402600e-01,4.406300e-01,0.000000e+00,7.000000e-03,2.000000e-02,-2.262000e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.972638e+00,2.450011e+00,-1.757553e-02,5.963514e+00,8.260434e+00,2.664815e-02,1.185489e+01,2.290103e+01,3.912118e-04,6.858664e-03
3.000000e+00,7.565059e+01,1.636449e+01,-8.422810e-02,1.472600e-01,4.606300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.949410e+00,1.935508e+00,-2.538152e-02,7.912923e+00,1.019594e+01,5.202967e-02,1.565508e+01,2.664723e+01,1.035433e-03,7.307664e-03
4.000000e+00,7.567541e+01,1.701795e+01,-7.684289e-02,1.542600e-01,4.806300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.924594e+00,1.282053e+00,-3.276673e-02,9.837517e+00,1.147800e+01,8.479641e-02,1.935915e+01,2.829089e+01,2.109092e-03,7.756664e-03
5.000000e+00,7.570180e+01,1.779665e+01,-6.956210e-02,1.612600e-01,4.606300e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.898196e+00,5.033502e-01,-4.004752e-02,1.173571e+01,1.198135e+01,1.248439e-01,2.296229e+01,2.854425e+01,3.712896e-03,8.205664e-03
6.000000e+00,7.573914e+01,1.830863e+01,-7.650076e-02,1.682600e-01,4.406300e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.860862e+00,-8.633448e-03,-3.310886e-02,1.359658e+01,1.198998e+01,1.579528e-01,2.642510e+01,2.854432e+01,4.809093e-03,8.654664e-03
7.000000e+00,7.578739e+01,1.858076e+01,-8.330057e-02,1.752600e-01,4.206300e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.812605e+00,-2.807625e-01,-2.630905e-02,1.540918e+01,1.227074e+01,1.842618e-01,2.971064e+01,2.862315e+01,5.501259e-03,9.103664e-03
8.000000e+00,7.584656e+01,1.863712e+01,-8.996471e-02,1.822600e-01,4.006300e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.753435e+00,-3.371223e-01,-1.964491e-02,1.716262e+01,1.260786e+01,2.039068e-01,3.278517e+01,2.873680e+01,5.887182e-03,9.552664e-03
9.000000e+00,7.591664e+01,1.849930e+01,-9.649628e-02,1.892600e-01,3.889219e-01,0.000000e+00,7.000000e-03,-1.170808e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,1.683362e+00,-1.992970e-01,-1.311334e-02,1.884598e+01,1.280716e+01,2.170201e-01,3.561888e+01,2.877652e+01,6.059141e-03,9.738744e-03
