t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,3.811522e-01,7.000000e-03,2.000000e-02,4.136218e-02,1.072000e+02,7.050000e+01,-1.169689e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,2.159830e-03
1.000000e+00,9.719390e+01,5.075141e+01,-1.063511e-01,2.844900e-01,6.608200e-01,3.874863e-01,7.000000e-03,2.000000e-02,6.334165e-03,1.072000e+02,7.050000e+01,-1.169689e-01,1.000610e+01,1.974859e+01,-1.061773e-02,2.000610e+01,3.974859e+01,1.061773e-02,2.001221e+02,7.900069e+02,1.127363e-04,2.648952e-03
2.000000e+00,9.718696e+01,5.122875e+01,-9.532607e-02,2.914900e-01,6.808200e-01,3.913500e-01,7.000000e-03,2.000000e-02,3.863667e-03,1.072000e+02,7.050000e+01,-1.169689e-01,1.001304e+01,1.927125e+01,-2.164279e-02,3.001914e+01,5.901985e+01,3.226053e-02,3.003831e+02,1.161388e+03,5.811467e-04,3.112880e-03
3.000000e+00,9.717956e+01,5.190933e+01,-8.436829e-02,2.984900e-01,7.008200e-01,3.934250e-01,7.000000e-03,2.000000e-02,2.075009e-03,1.072000e+02,7.050000e+01,-1.169689e-01,1.002044e+01,1.859067e+01,-3.260057e-02,4.003958e+01,7.761051e+01,6.486110e-02,4.007923e+02,1.507001e+03,1.643944e-03,3.566185e-03
4.000000e+00,9.717197e+01,5.277277e+01,-7.350165e-02,3.054900e-01,7.140925e-01,3.943164e-01,7.000000e-03,1.327252e-02,8.913552e-04,1.072000e+02,7.050000e+01,-1.169689e-01,1.002803e+01,1.772723e+01,-4.346721e-02,5.006762e+01,9.533774e+01,1.083283e-01,5.013538e+02,1.821256e+03,3.533342e-03,3.792140e-03
5.000000e+00,9.716644e+01,5.371615e+01,-6.579031e-02,3.124900e-01,7.043767e-01,3.944725e-01,7.000000e-03,-9.715843e-03,1.561284e-04,1.072000e+02,7.050000e+01,-1.169689e-01,1.003356e+01,1.678385e+01,-5.117856e-02,6.010118e+01,1.121216e+02,1.595069e-01,6.020260e+02,2.102953e+03,6.152587e-03,3.935562e-03
6.000000e+00,9.717022e+01,5.444269e+01,-6.855388e-02,3.194900e-01,6.980036e-01,3.942304e-01,7.000000e-03,-6.373132e-03,-2.421188e-04,1.072000e+02,7.050000e+01,-1.169689e-01,1.002978e+01,1.605731e+01,-4.841499e-02,7.013095e+01,1.281789e+02,2.079219e-01,7.026224e+02,2.360790e+03,8.496598e-03,4.025237e-03
7.000000e+00,9.718231e+01,5.501674e+01,-6.968972e-02,3.264900e-01,6.937846e-01,3.937830e-01,7.000000e-03,-4.218967e-03,-4.473664e-04,1.072000e+02,7.050000e+01,-1.169689e-01,1.001769e+01,1.548326e+01,-4.727915e-02,8.014864e+01,1.436622e+02,2.552010e-01,8.029766e+02,2.600522e+03,1.073192e-02,4.092237e-03
8.000000e+00,9.720203e+01,5.548119e+01,-6.976841e-02,3.334900e-01,6.909316e-01,3.932425e-01,7.000000e-03,-2.852993e-03,-5.405003e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.997967e+00,1.501881e+01,-4.720045e-02,9.014661e+01,1.586810e+02,3.024015e-01,9.029360e+02,2.826086e+03,1.295980e-02,4.149669e-03
9.000000e+00,9.722898e+01,5.586468e+01,-6.916719e-02,3.404900e-01,6.889379e-01,3.926739e-01,7.000000e-03,-1.993727e-03,-5.686338e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.971023e+00,1.463532e+01,-4.780167e-02,1.001176e+02,1.733163e+02,3.502031e-01,1.002357e+03,3.040279e+03,1.524480e-02,4.202967e-03
1.000000e+01,9.726286e+01,5.618660e+01,-6.812811e-02,3.474900e-01,6.874829e-01,3.921142e-01,7.000000e-03,-1.454953e-03,-5.597354e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.937143e+00,1.431340e+01,-4.884075e-02,1.100548e+02,1.876297e+02,3.990439e-01,1.101104e+03,3.245153e+03,1.763022e-02,4.254397e-03
1.100000e+01,9.730349e+01,5.646033e+01,-6.680406e-02,3.544900e-01,6.863656e-01,3.915837e-01,7.000000e-03,-1.117337e-03,-5.304964e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.896511e+00,1.403967e+01,-5.016480e-02,1.199513e+02,2.016694e+02,4.492087e-01,1.199045e+03,3.442265e+03,2.014673e-02,4.304927e-03
1.200000e+01,9.735075e+01,5.669540e+01,-6.529089e-02,3.614900e-01,6.854600e-01,3.910928e-01,7.000000e-03,-9.055669e-04,-4.908998e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.849253e+00,1.380460e+01,-5.167797e-02,1.298005e+02,2.154740e+02,5.008867e-01,1.296053e+03,3.632832e+03,2.281734e-02,4.354988e-03
1.300000e+01,9.740454e+01,5.689877e+01,-6.364849e-02,3.684900e-01,6.846875e-01,3.906459e-01,7.000000e-03,-7.725372e-04,-4.468719e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.795457e+00,1.360123e+01,-5.332037e-02,1.395960e+02,2.290752e+02,5.542070e-01,1.392004e+03,3.817825e+03,2.566040e-02,4.404785e-03
1.400000e+01,9.746481e+01,5.707571e+01,-6.191427e-02,3.754900e-01,6.839985e-01,3.902440e-01,7.000000e-03,-6.889984e-04,-4.018391e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.735186e+00,1.342429e+01,-5.505459e-02,1.493312e+02,2.424995e+02,6.092616e-01,1.486778e+03,3.998037e+03,2.869141e-02,4.454421e-03
1.500000e+01,9.753151e+01,5.723036e+01,-6.011173e-02,3.824900e-01,6.833618e-01,3.898863e-01,7.000000e-03,-6.366929e-04,-3.577419e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.668488e+00,1.326964e+01,-5.685713e-02,1.589997e+02,2.557691e+02,6.661188e-01,1.580257e+03,4.174120e+03,3.192414e-02,4.503954e-03
1.600000e+01,9.760460e+01,5.736602e+01,-5.825566e-02,3.894900e-01,6.827575e-01,3.895707e-01,7.000000e-03,-6.042900e-04,-3.155863e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.595403e+00,1.313398e+01,-5.871321e-02,1.685951e+02,2.689031e+02,7.248320e-01,1.672329e+03,4.346622e+03,3.537138e-02,4.553419e-03
1.700000e+01,9.768404e+01,5.748541e+01,-5.635546e-02,3.964900e-01,6.821729e-01,3.892949e-01,7.000000e-03,-5.846362e-04,-2.758470e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.515961e+00,1.301459e+01,-6.061341e-02,1.781110e+02,2.819177e+02,7.854454e-01,1.762883e+03,4.516001e+03,3.904537e-02,4.602837e-03
1.800000e+01,9.776981e+01,5.759084e+01,-5.441716e-02,4.034900e-01,6.815996e-01,3.890562e-01,7.000000e-03,-5.732778e-04,-2.386520e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.430190e+00,1.290916e+01,-6.255171e-02,1.875412e+02,2.948268e+02,8.479971e-01,1.851811e+03,4.682647e+03,4.295808e-02,4.652223e-03
1.900000e+01,9.786189e+01,5.768426e+01,-5.244467e-02,4.104900e-01,6.810322e-01,3.888523e-01,7.000000e-03,-5.673655e-04,-2.039489e-04,1.072000e+02,7.050000e+01,-1.169689e-01,9.338115e+00,1.281574e+01,-6.452419e-02,1.968793e+02,3.076426e+02,9.125213e-01,1.939011e+03,4.846891e+03,4.712146e-02,4.701586e-03
