t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,1.226200e-01,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,7.560162e+01,1.548958e+01,-1.007726e-01,1.192600e-01,3.806300e-01,1.220132e-01,-7.000000e-03,-2.000000e-02,-6.068072e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.998376e+00,1.981042e+01,-8.836998e-03,1.999838e+01,3.981042e+01,8.836998e-03,1.999675e+02,7.924529e+02,7.809254e-05,8.983682e-04
2.000000e+00,7.560171e+01,1.547070e+01,-1.097165e-01,1.262600e-01,4.006300e-01,1.227326e-01,7.000000e-03,2.000000e-02,7.194034e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.998289e+00,1.982930e+01,1.068708e-04,2.999666e+01,5.963973e+01,8.943869e-03,2.999333e+02,1.185654e+03,7.810396e-05,1.347886e-03
3.000000e+00,7.560332e+01,1.564325e+01,-1.008884e-01,1.192600e-01,3.806300e-01,1.220222e-01,-7.000000e-03,-2.000000e-02,-7.104006e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.996684e+00,1.965675e+01,-8.721251e-03,3.999335e+01,7.929648e+01,1.766512e-02,3.998670e+02,1.572042e+03,1.541642e-04,1.797390e-03
4.000000e+00,7.560340e+01,1.560904e+01,-1.098309e-01,1.262600e-01,4.006300e-01,1.227243e-01,7.000000e-03,2.000000e-02,7.021412e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.996601e+00,1.969096e+01,2.212809e-04,4.998995e+01,9.898744e+01,1.788640e-02,4.997990e+02,1.959776e+03,1.542131e-04,2.246883e-03
5.000000e+00,7.560500e+01,1.576780e+01,-1.010025e-01,1.192600e-01,3.806300e-01,1.220119e-01,-7.000000e-03,-2.000000e-02,-7.124234e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.994997e+00,1.953220e+01,-8.607132e-03,5.998495e+01,1.185196e+02,2.649353e-02,5.996990e+02,2.341283e+03,2.282959e-04,2.696391e-03
6.000000e+00,7.560509e+01,1.572117e+01,-1.099453e-01,1.262600e-01,4.006300e-01,1.227136e-01,7.000000e-03,2.000000e-02,7.016833e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.994914e+00,1.957883e+01,3.356587e-04,6.997986e+01,1.380985e+02,2.682919e-02,6.995973e+02,2.724613e+03,2.284085e-04,3.145883e-03
7.000000e+00,7.560669e+01,1.586876e+01,-1.011168e-01,1.192600e-01,3.806300e-01,1.220013e-01,-7.000000e-03,-2.000000e-02,-7.122955e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.993311e+00,1.943124e+01,-8.492788e-03,7.997317e+01,1.575297e+02,3.532198e-02,7.994635e+02,3.102186e+03,3.005360e-04,3.595391e-03
8.000000e+00,7.560677e+01,1.581208e+01,-1.100599e-01,1.262600e-01,4.006300e-01,1.227032e-01,7.000000e-03,2.000000e-02,7.019200e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.993229e+00,1.948792e+01,4.502948e-04,8.996640e+01,1.770176e+02,3.577227e-02,8.993282e+02,3.481965e+03,3.007387e-04,4.044883e-03
9.000000e+00,7.560837e+01,1.595062e+01,-1.012314e-01,1.192600e-01,3.806300e-01,1.219911e-01,-7.000000e-03,-2.000000e-02,-7.120741e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.991627e+00,1.934938e+01,-8.378180e-03,9.995803e+01,1.963670e+02,4.415045e-02,9.991608e+02,3.856364e+03,3.709326e-04,4.494390e-03
