t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.704900e-01,6.208200e-01,3.397900e-01,0.000000e+00,0.000000e+00,0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,9.720000e+01,5.049994e+01,-1.169688e-01,2.774900e-01,6.255403e-01,3.397900e-01,7.000000e-03,4.720345e-03,2.590183e-10,9.735705e+01,5.056282e+01,-1.169689e-01,1.570512e-01,6.287894e-02,-3.170023e-08,1.570512e-01,6.287894e-02,3.170023e-08,2.466507e-02,3.953760e-03,1.004905e-15,7.128166e-05
2.000000e+00,9.720484e+01,5.055924e+01,-1.130276e-01,2.844900e-01,6.264982e-01,3.398222e-01,7.000000e-03,9.578600e-04,3.220316e-05,9.751395e+01,5.062558e+01,-1.169689e-01,3.091108e-01,6.633991e-02,-3.941223e-03,4.661619e-01,1.292188e-01,3.941255e-03,1.202145e-01,8.354744e-03,1.553324e-05,1.212002e-04
3.000000e+00,9.721567e+01,5.062494e+01,-1.108002e-01,2.914900e-01,6.270456e-01,3.398667e-01,7.000000e-03,5.474308e-04,4.451112e-05,9.767054e+01,5.068822e+01,-1.169689e-01,4.548732e-01,6.327656e-02,-6.168659e-03,9.210351e-01,1.924954e-01,1.010991e-02,3.271242e-01,1.235867e-02,5.358559e-05,1.705019e-04
4.000000e+00,9.723259e+01,5.069160e+01,-1.087372e-01,2.984900e-01,6.275493e-01,3.399192e-01,7.000000e-03,5.037112e-04,5.247235e-05,9.782667e+01,5.075067e+01,-1.169689e-01,5.940720e-01,5.907137e-02,-8.231629e-03,1.515107e+00,2.515668e-01,1.834154e-02,6.800458e-01,1.584809e-02,1.213453e-04,2.197583e-04
5.000000e+00,9.725562e+01,5.075892e+01,-1.066693e-01,3.054900e-01,6.280464e-01,3.399772e-01,7.000000e-03,4.970179e-04,5.797862e-05,9.798217e+01,5.081287e+01,-1.169689e-01,7.265546e-01,5.394398e-02,-1.029952e-02,2.241662e+00,3.055108e-01,2.864106e-02,1.207927e+00,1.875805e-02,2.274254e-04,2.690087e-04
6.000000e+00,9.728473e+01,5.082714e+01,-1.045795e-01,3.124900e-01,6.285400e-01,3.400386e-01,7.000000e-03,4.936546e-04,6.143161e-05,9.813691e+01,5.087476e+01,-1.169689e-01,8.521800e-01,4.761935e-02,-1.238933e-02,3.093842e+00,3.531301e-01,4.103039e-02,1.934138e+00,2.102565e-02,3.809210e-04,3.182562e-04
7.000000e+00,9.731991e+01,5.089648e+01,-1.024664e-01,3.194900e-01,6.290302e-01,3.401017e-01,7.000000e-03,4.901990e-04,6.308927e-05,9.829072e+01,5.093629e+01,-1.169689e-01,9.708088e-01,3.980165e-02,-1.450249e-02,4.064651e+00,3.929318e-01,5.553288e-02,2.876608e+00,2.260982e-02,5.912431e-04,3.675005e-04
8.000000e+00,9.736115e+01,5.096716e+01,-1.003301e-01,3.264900e-01,6.295165e-01,3.401649e-01,7.000000e-03,4.863104e-04,6.319708e-05,9.844345e+01,5.099738e+01,-1.169689e-01,1.082302e+00,3.021953e-02,-1.663880e-02,5.146953e+00,4.231513e-01,7.217169e-02,4.047986e+00,2.352304e-02,8.680929e-04,4.167410e-04
9.000000e+00,9.740843e+01,5.103935e+01,-9.817094e-02,3.334900e-01,6.299985e-01,3.402269e-01,7.000000e-03,4.819617e-04,6.199604e-05,9.859496e+01,5.105798e+01,-1.169689e-01,1.186522e+00,1.862807e-02,-1.879793e-02,6.333475e+00,4.417794e-01,9.096961e-02,5.455821e+00,2.387005e-02,1.221455e-03,4.659771e-04
