t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,7.262000e-02,7.000000e-03,2.000000e-02,-5.000000e-02,8.560000e+01,3.530000e+01,-1.096096e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,2.949000e-03
1.000000e+00,7.560912e+01,1.548958e+01,-1.005370e-01,1.332600e-01,4.206300e-01,2.262000e-02,7.000000e-03,2.000000e-02,-5.000000e-02,8.560000e+01,3.530000e+01,-1.096096e-01,9.990876e+00,1.981042e+01,-9.072616e-03,1.999088e+01,3.981042e+01,9.072616e-03,1.998176e+02,7.924529e+02,8.231235e-05,5.898000e-03
2.000000e+00,7.562736e+01,1.584999e+01,-9.203409e-02,1.402600e-01,4.406300e-01,0.000000e+00,7.000000e-03,2.000000e-02,-2.262000e-02,8.560000e+01,3.530000e+01,-1.096096e-01,9.972638e+00,1.945001e+01,-1.757553e-02,2.996351e+01,5.926043e+01,2.664815e-02,2.992711e+02,1.170756e+03,3.912118e-04,6.858664e-03
3.000000e+00,7.565059e+01,1.636449e+01,-8.422810e-02,1.472600e-01,4.606300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.949410e+00,1.893551e+01,-2.538152e-02,3.991292e+01,7.819594e+01,5.202967e-02,3.982619e+02,1.529309e+03,1.035433e-03,7.307664e-03
4.000000e+00,7.567541e+01,1.701795e+01,-7.684289e-02,1.542600e-01,4.806300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.924594e+00,1.828205e+01,-3.276673e-02,4.983752e+01,9.647800e+01,8.479641e-02,4.967594e+02,1.863543e+03,2.109092e-03,7.756664e-03
5.000000e+00,7.570180e+01,1.779665e+01,-6.956210e-02,1.612600e-01,5.006300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.898196e+00,1.750335e+01,-4.004752e-02,5.973571e+01,1.139813e+02,1.248439e-01,5.947337e+02,2.169910e+03,3.712896e-03,8.205664e-03
6.000000e+00,7.572978e+01,1.868828e+01,-6.238531e-02,1.682600e-01,5.206300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.870223e+00,1.661172e+01,-4.722431e-02,6.960594e+01,1.305931e+02,1.720682e-01,6.921550e+02,2.445859e+03,5.943032e-03,8.654664e-03
7.000000e+00,7.575932e+01,1.968176e+01,-5.531212e-02,1.752600e-01,5.406300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.840682e+00,1.561824e+01,-5.429751e-02,7.944662e+01,1.462113e+02,2.263657e-01,7.889940e+02,2.689789e+03,8.891251e-03,9.103664e-03
8.000000e+00,7.579042e+01,2.076713e+01,-4.834209e-02,1.822600e-01,5.606300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.809578e+00,1.453287e+01,-6.126753e-02,8.925620e+01,1.607442e+02,2.876333e-01,8.852219e+02,2.900993e+03,1.264496e-02,9.552664e-03
9.000000e+00,7.582308e+01,2.193544e+01,-4.147484e-02,1.892600e-01,5.806300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.776920e+00,1.336456e+01,-6.813478e-02,9.903312e+01,1.741087e+02,3.557681e-01,9.808100e+02,3.079605e+03,1.728731e-02,1.000166e-02
1.000000e+01,7.585729e+01,2.317866e+01,-3.470994e-02,1.962600e-01,6.006300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.742714e+00,1.212134e+01,-7.489968e-02,1.087758e+02,1.862301e+02,4.306677e-01,1.075731e+03,3.226532e+03,2.289727e-02,1.045066e-02
1.100000e+01,7.589303e+01,2.448957e+01,-2.804700e-02,2.032600e-01,6.206300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.706969e+00,1.081043e+01,-8.156262e-02,1.184828e+02,1.970405e+02,5.122304e-01,1.169956e+03,3.343397e+03,2.954973e-02,1.089966e-02
1.200000e+01,7.593031e+01,2.586167e+01,-2.148563e-02,2.102600e-01,6.406300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.669692e+00,9.438331e+00,-8.812399e-02,1.281525e+02,2.064788e+02,6.003543e-01,1.263459e+03,3.432479e+03,3.731557e-02,1.134866e-02
1.300000e+01,7.596911e+01,2.728914e+01,-1.502541e-02,2.172600e-01,6.606300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.630893e+00,8.010862e+00,-9.458421e-02,1.377834e+02,2.144897e+02,6.949386e-01,1.356213e+03,3.496653e+03,4.626174e-02,1.179766e-02
1.400000e+01,7.600942e+01,2.876674e+01,-8.665971e-03,2.242600e-01,6.806300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.590579e+00,6.533256e+00,-1.009437e-01,1.473740e+02,2.210230e+02,7.958822e-01,1.448192e+03,3.539336e+03,5.645136e-02,1.224666e-02
1.500000e+01,7.605124e+01,3.028979e+01,-2.406915e-03,2.312600e-01,7.006300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.548759e+00,5.010209e+00,-1.072027e-01,1.569227e+02,2.260332e+02,9.030849e-01,1.539371e+03,3.564439e+03,6.794378e-02,1.269566e-02
1.600000e+01,7.609456e+01,3.185406e+01,3.752140e-03,2.382600e-01,7.206300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.505444e+00,3.445935e+00,-1.133618e-01,1.664282e+02,2.294791e+02,1.016447e+00,1.629724e+03,3.576313e+03,8.079467e-02,1.314466e-02
1.700000e+01,7.613936e+01,3.345579e+01,9.811576e-03,2.452600e-01,7.406300e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.460642e+00,1.844215e+00,-1.194212e-01,1.758888e+02,2.313233e+02,1.135868e+00,1.719228e+03,3.579714e+03,9.505609e-02,1.359366e-02
1.800000e+01,7.618564e+01,3.509156e+01,1.577177e-02,2.522600e-01,7.206300e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.414363e+00,2.084383e-01,-1.253814e-01,1.853032e+02,2.315318e+02,1.261249e+00,1.807858e+03,3.579758e+03,1.107766e-01,1.404266e-02
1.900000e+01,7.624281e+01,3.637598e+01,7.435345e-03,2.592600e-01,7.006300e-01,0.000000e+00,7.000000e-03,-2.000000e-02,0.000000e+00,8.560000e+01,3.530000e+01,-1.096096e-01,9.357189e+00,-1.075979e+00,-1.170450e-01,1.946604e+02,2.326077e+02,1.378294e+00,1.895415e+03,3.580915e+03,1.244761e-01,1.449166e-02
