t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,6.028900e-01,9.144700e-01,7.382900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,2.949000e-03
1.000000e+00,1.449872e+02,1.316097e+02,-6.976234e-02,5.958900e-01,8.944700e-01,6.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.987246e+00,-3.609734e+00,-5.929113e-02,9.987246e+00,6.609734e+00,1.027068e-01,4.987262e+01,2.203018e+01,5.400360e-03,5.898000e-03
2.000000e+00,1.449855e+02,1.317628e+02,-8.486948e-02,5.888900e-01,8.744700e-01,6.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.985458e+00,-3.762819e+00,-4.418399e-02,1.497270e+01,1.037255e+01,1.468908e-01,7.472742e+01,3.618899e+01,7.352585e-03,8.847000e-03
3.000000e+00,1.449946e+02,1.315061e+02,-9.989787e-02,5.818900e-01,8.544700e-01,5.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.994600e+00,-3.506095e+00,-2.915560e-02,1.996730e+01,1.387865e+01,1.760464e-01,9.967344e+01,4.848169e+01,8.202634e-03,1.179600e-02
4.000000e+00,1.450146e+02,1.308816e+02,-1.148494e-01,5.748900e-01,8.344700e-01,5.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.014635e+00,-2.881618e+00,-1.420406e-02,2.498194e+01,1.676027e+01,1.902505e-01,1.248200e+02,5.678542e+01,8.404389e-03,1.474500e-02
5.000000e+00,1.450455e+02,1.299271e+02,-1.297255e-01,5.678900e-01,8.144700e-01,4.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.045530e+00,-1.927132e+00,6.720740e-04,3.002747e+01,1.868740e+01,1.909225e-01,1.502774e+02,6.049926e+01,8.404841e-03,1.769400e-02
6.000000e+00,1.450873e+02,1.286765e+02,-1.445273e-01,5.608900e-01,7.944700e-01,4.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.087256e+00,-6.765045e-01,1.547380e-02,3.511472e+01,1.936390e+01,2.063963e-01,1.761575e+02,6.095691e+01,8.644279e-03,2.064300e-02
7.000000e+00,1.451398e+02,1.271601e+02,-1.592551e-01,5.538900e-01,7.744700e-01,3.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.139783e+00,8.398864e-01,3.020164e-02,4.025451e+01,2.020379e+01,2.365980e-01,2.025749e+02,6.166232e+01,9.556418e-03,2.359200e-02
8.000000e+00,1.452031e+02,1.254052e+02,-1.739091e-01,5.468900e-01,7.544700e-01,3.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.203088e+00,2.594801e+00,4.485567e-02,4.545760e+01,2.279859e+01,2.814536e-01,2.296470e+02,6.839532e+01,1.156845e-02,2.654100e-02
9.000000e+00,1.452771e+02,1.234362e+02,-1.884889e-01,5.398900e-01,7.344700e-01,2.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.277147e+00,4.563827e+00,5.943547e-02,5.073474e+01,2.736242e+01,3.408891e-01,2.574953e+02,8.922383e+01,1.510102e-02,2.949000e-02
