t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,1.586184e-01,7.000000e-03,2.000000e-02,3.599839e-02,8.560000e+01,3.530000e+01,-1.096096e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,1.744884e-03
1.000000e+00,7.559622e+01,1.548958e+01,-1.009422e-01,1.332600e-01,4.206300e-01,1.638967e-01,7.000000e-03,2.000000e-02,5.278326e-03,8.560000e+01,3.530000e+01,-1.096096e-01,1.000378e+01,1.981042e+01,-8.667387e-03,2.000378e+01,3.981042e+01,8.667387e-03,2.000755e+02,7.924529e+02,7.512359e-05,2.221745e-03
2.000000e+00,7.559329e+01,1.584962e+01,-9.190704e-02,1.402600e-01,4.406300e-01,1.674025e-01,7.000000e-03,2.000000e-02,3.505791e-03,8.560000e+01,3.530000e+01,-1.096096e-01,1.000671e+01,1.945038e+01,-1.770258e-02,3.001049e+01,5.926080e+01,2.636996e-02,3.002098e+02,1.170770e+03,3.885048e-04,2.683035e-03
3.000000e+00,7.559146e+01,1.636310e+01,-8.292448e-02,1.472600e-01,4.606300e-01,1.695501e-01,7.000000e-03,2.000000e-02,2.147638e-03,8.560000e+01,3.530000e+01,-1.096096e-01,1.000854e+01,1.893690e+01,-2.668514e-02,4.001903e+01,7.819770e+01,5.305511e-02,4.003807e+02,1.529376e+03,1.100602e-03,3.136648e-03
4.000000e+00,7.559094e+01,1.701468e+01,-7.401255e-02,1.542600e-01,4.806300e-01,1.707377e-01,7.000000e-03,2.000000e-02,1.187600e-03,8.560000e+01,3.530000e+01,-1.096096e-01,1.000906e+01,1.828532e+01,-3.559707e-02,5.002809e+01,9.648302e+01,8.865218e-02,5.005620e+02,1.863729e+03,2.367753e-03,3.587058e-03
5.000000e+00,7.559187e+01,1.779059e+01,-6.518531e-02,1.612600e-01,4.799280e-01,1.712707e-01,7.000000e-03,-7.020073e-04,5.329524e-04,8.560000e+01,3.530000e+01,-1.096096e-01,1.000813e+01,1.750941e+01,-4.442432e-02,6.003622e+01,1.139924e+02,1.330765e-01,6.007247e+02,2.170309e+03,4.341273e-03,3.636835e-03
6.000000e+00,7.559918e+01,1.848230e+01,-6.374455e-02,1.682600e-01,4.730418e-01,1.713994e-01,7.000000e-03,-6.886192e-03,1.287291e-04,8.560000e+01,3.530000e+01,-1.096096e-01,1.000082e+01,1.681770e+01,-4.586507e-02,7.003705e+01,1.308101e+02,1.789416e-01,7.007412e+02,2.453144e+03,6.444878e-03,3.733271e-03
7.000000e+00,7.561436e+01,1.903985e+01,-6.445208e-02,1.752600e-01,4.681959e-01,1.712935e-01,7.000000e-03,-4.845864e-03,-1.059272e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.985635e+00,1.626015e+01,-4.515755e-02,8.002268e+01,1.470703e+02,2.240991e-01,8.004541e+02,2.717536e+03,8.484082e-03,3.805765e-03
8.000000e+00,7.563698e+01,1.949625e+01,-6.437638e-02,1.822600e-01,4.647858e-01,1.710590e-01,7.000000e-03,-3.410153e-03,-2.345300e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.963024e+00,1.580375e+01,-4.523324e-02,8.998570e+01,1.628740e+02,2.693324e-01,8.997160e+02,2.967295e+03,1.053013e-02,3.866449e-03
9.000000e+00,7.566668e+01,1.987547e+01,-6.374644e-02,1.892600e-01,4.623722e-01,1.707624e-01,7.000000e-03,-2.413580e-03,-2.965651e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.933317e+00,1.542453e+01,-4.586319e-02,9.991902e+01,1.782986e+02,3.151955e-01,9.983867e+02,3.205211e+03,1.263356e-02,3.921362e-03
1.000000e+01,7.570325e+01,2.019490e+01,-6.272776e-02,1.962600e-01,4.606449e-01,1.704452e-01,7.000000e-03,-1.727317e-03,-3.172147e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.896748e+00,1.510510e+01,-4.688186e-02,1.098158e+02,1.934037e+02,3.620774e-01,1.096332e+03,3.433375e+03,1.483147e-02,3.973446e-03
1.100000e+01,7.574651e+01,2.046725e+01,-6.143692e-02,2.032600e-01,4.593878e-01,1.701326e-01,7.000000e-03,-1.257047e-03,-3.126363e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.853487e+00,1.483275e+01,-4.817270e-02,1.196693e+02,2.082364e+02,4.102501e-01,1.193424e+03,3.653385e+03,1.715208e-02,4.024124e-03
1.200000e+01,7.579635e+01,2.070190e+01,-5.995482e-02,2.102600e-01,4.584521e-01,1.698393e-01,7.000000e-03,-9.357228e-04,-2.932430e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.803654e+00,1.459810e+01,-4.965480e-02,1.294729e+02,2.228345e+02,4.599049e-01,1.289535e+03,3.866490e+03,1.961768e-02,4.074086e-03
1.300000e+01,7.585266e+01,2.090588e+01,-5.833711e-02,2.172600e-01,4.577356e-01,1.695736e-01,7.000000e-03,-7.165298e-04,-2.657235e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.747337e+00,1.439412e+01,-5.127251e-02,1.392202e+02,2.372286e+02,5.111774e-01,1.384546e+03,4.073681e+03,2.224655e-02,4.123670e-03
1.400000e+01,7.591540e+01,2.108454e+01,-5.662181e-02,2.242600e-01,4.571684e-01,1.693393e-01,7.000000e-03,-5.672277e-04,-2.343031e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.684602e+00,1.421546e+01,-5.298781e-02,1.489048e+02,2.514441e+02,5.641652e-01,1.478337e+03,4.275760e+03,2.505426e-02,4.173047e-03
1.500000e+01,7.598450e+01,2.124206e+01,-5.483487e-02,2.312600e-01,4.567027e-01,1.691377e-01,7.000000e-03,-4.656954e-04,-2.016223e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.615498e+00,1.405794e+01,-5.477475e-02,1.585203e+02,2.655020e+02,6.189400e-01,1.570795e+03,4.473386e+03,2.805453e-02,4.222304e-03
1.600000e+01,7.605993e+01,2.138170e+01,-5.299397e-02,2.382600e-01,4.563058e-01,1.689684e-01,7.000000e-03,-3.968182e-04,-1.692859e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.540065e+00,1.391830e+01,-5.661565e-02,1.680604e+02,2.794203e+02,6.755556e-01,1.661808e+03,4.667105e+03,3.125986e-02,4.271490e-03
1.700000e+01,7.614167e+01,2.150612e+01,-5.111112e-02,2.452600e-01,4.559554e-01,1.688302e-01,7.000000e-03,-3.503959e-04,-1.381882e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.458333e+00,1.379388e+01,-5.849850e-02,1.775187e+02,2.932142e+02,7.340541e-01,1.751268e+03,4.857376e+03,3.468194e-02,4.320632e-03
1.800000e+01,7.622967e+01,2.161748e+01,-4.919455e-02,2.522600e-01,4.556361e-01,1.687214e-01,7.000000e-03,-3.193735e-04,-1.088304e-04,8.560000e+01,3.530000e+01,-1.096096e-01,9.370328e+00,1.368252e+01,-6.041507e-02,1.868891e+02,3.068967e+02,7.944692e-01,1.839071e+03,5.044587e+03,3.833192e-02,4.369746e-03
1.900000e+01,7.632393e+01,2.171760e+01,-4.724986e-02,2.592600e-01,4.553370e-01,1.686400e-01,7.000000e-03,-2.990348e-04,-8.140443e-05,8.560000e+01,3.530000e+01,-1.096096e-01,9.276070e+00,1.358240e+01,-6.235976e-02,1.961651e+02,3.204791e+02,8.568290e-01,1.925117e+03,5.229069e+03,4.222066e-02,4.418842e-03
2.000000e+01,7.642442e+01,2.180798e+01,-4.528092e-02,2.662600e-01,4.550509e-01,1.685840e-01,7.000000e-03,-2.860983e-04,-5.595468e-05,8.560000e+01,3.530000e+01,-1.096096e-01,9.175579e+00,1.349202e+01,-6.432870e-02,2.053407e+02,3.339712e+02,9.211577e-01,2.009308e+03,5.411103e+03,4.635884e-02,4.467927e-03
2.100000e+01,7.653113e+01,2.188994e+01,-4.329038e-02,2.732600e-01,4.547726e-01,1.685516e-01,7.000000e-03,-2.783465e-04,-3.241248e-05,8.560000e+01,3.530000e+01,-1.096096e-01,9.068871e+00,1.341006e+01,-6.631924e-02,2.144096e+02,3.473812e+02,9.874769e-01,2.091552e+03,5.590933e+03,5.075708e-02,4.517006e-03
2.200000e+01,7.664404e+01,2.196458e+01,-4.128008e-02,2.802600e-01,4.544983e-01,1.685409e-01,7.000000e-03,-2.742487e-04,-1.065461e-05,8.560000e+01,3.530000e+01,-1.096096e-01,8.955962e+00,1.333542e+01,-6.832954e-02,2.233656e+02,3.607166e+02,1.055806e+00,2.171761e+03,5.768767e+03,5.542601e-02,4.566081e-03
2.300000e+01,7.676314e+01,2.203287e+01,-3.925132e-02,2.872600e-01,4.542256e-01,1.685504e-01,7.000000e-03,-2.727606e-04,9.475541e-06,8.560000e+01,3.530000e+01,-1.096096e-01,8.836865e+00,1.326713e+01,-7.035830e-02,2.322024e+02,3.739838e+02,1.126165e+00,2.249852e+03,5.944784e+03,6.037630e-02,4.615155e-03
2.400000e+01,7.688841e+01,2.209566e+01,-3.720502e-02,2.942600e-01,4.539525e-01,1.685785e-01,7.000000e-03,-2.731277e-04,2.813370e-05,8.560000e+01,3.530000e+01,-1.096096e-01,8.711593e+00,1.320434e+01,-7.240460e-02,2.409140e+02,3.871881e+02,1.198569e+00,2.325743e+03,6.119138e+03,6.561872e-02,4.664231e-03
