t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,2.897900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,2.949000e-03
1.000000e+00,9.720760e+01,5.075141e+01,-1.058059e-01,2.844900e-01,6.608200e-01,2.397900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.992398e+00,1.974859e+01,-1.116300e-02,1.999240e+01,3.974859e+01,1.116300e-02,1.998480e+02,7.900069e+02,1.246126e-04,5.898000e-03
2.000000e+00,9.722279e+01,5.122963e+01,-9.517224e-02,2.914900e-01,6.808200e-01,1.897900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.977214e+00,1.927037e+01,-2.179662e-02,2.996961e+01,5.901896e+01,3.295962e-02,2.993928e+02,1.161354e+03,5.997053e-04,8.847000e-03
3.000000e+00,9.724553e+01,5.191253e+01,-8.506563e-02,2.984900e-01,7.008200e-01,1.397900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.954469e+00,1.858747e+01,-3.190323e-02,3.992408e+01,7.760643e+01,6.486286e-02,3.984843e+02,1.506848e+03,1.617522e-03,1.179600e-02
4.000000e+00,9.727582e+01,5.278027e+01,-7.548339e-02,3.054900e-01,7.208200e-01,8.979000e-02,7.000000e-03,2.000000e-02,-5.000000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.924183e+00,1.771973e+01,-4.148548e-02,4.984826e+01,9.532616e+01,1.063483e-01,4.969737e+02,1.820837e+03,3.338567e-03,1.474500e-02
5.000000e+00,9.731362e+01,5.381505e+01,-6.642262e-02,3.124900e-01,7.408200e-01,3.979000e-02,7.000000e-03,2.000000e-02,-5.000000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.886379e+00,1.668495e+01,-5.054625e-02,5.973464e+01,1.120111e+02,1.568946e-01,5.947142e+02,2.099224e+03,5.893490e-03,1.769400e-02
6.000000e+00,9.735892e+01,5.500090e+01,-5.788016e-02,3.194900e-01,7.608200e-01,0.000000e+00,7.000000e-03,2.000000e-02,-3.979000e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.841081e+00,1.549910e+01,-5.908870e-02,6.957572e+01,1.275102e+02,2.159833e-01,6.915610e+02,2.339446e+03,9.384964e-03,1.972624e-02
7.000000e+00,9.741015e+01,5.632354e+01,-4.991487e-02,3.264900e-01,7.808200e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.789847e+00,1.417646e+01,-6.705399e-02,7.936557e+01,1.416867e+02,2.830373e-01,7.874021e+02,2.540419e+03,1.388120e-02,2.017524e-02
8.000000e+00,9.746133e+01,5.777002e+01,-4.262488e-02,3.334900e-01,8.008200e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.738669e+00,1.272998e+01,-7.434398e-02,8.910424e+01,1.544167e+02,3.573813e-01,8.822438e+02,2.702471e+03,1.940823e-02,2.062424e-02
9.000000e+00,9.751245e+01,5.932827e+01,-3.545422e-02,3.404900e-01,8.208200e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.687554e+00,1.117173e+01,-8.151464e-02,9.879179e+01,1.655884e+02,4.388959e-01,9.760925e+02,2.827278e+03,2.605287e-02,2.107324e-02
1.000000e+01,9.756349e+01,6.098740e+01,-2.840262e-02,3.474900e-01,8.408200e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.636508e+00,9.512604e+00,-8.856624e-02,1.084283e+02,1.751010e+02,5.274621e-01,1.068955e+03,2.917768e+03,3.389685e-02,2.152224e-02
1.100000e+01,9.761446e+01,6.273760e+01,-2.146981e-02,3.544900e-01,8.608200e-01,0.000000e+00,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.585539e+00,7.762396e+00,-9.549905e-02,1.180138e+02,1.828634e+02,6.229612e-01,1.160837e+03,2.978023e+03,4.301692e-02,2.197124e-02
